,City,ID,State,height,weight
758,Flintoft,1517, SK,6.06,257.0
759,St. Louis,1519, MO,6.05,265.0
760,Fort Worth,1521, TX,5.1,173.0
761,Rockingham,1523, NC,6.04,210.0
762,Dallas,1525, TX,5.07,190.0
763,Aurora,1527, CO,5.09,170.0
764,Lee's Summit,1529, MO,5.08,201.0
765,Metarie,1531, LA,6.01,205.0
766,Portland,1533, OR,6.01,180.0
768,Brantford,1537, ON,5.09,175.0
769,New Orleans,1539, LA,6.02,192.0
770,Fairfield,1541, AL,6.0,245.0
771,Florence,1543, SC,5.11,214.0
772,Irvine,1545, CA,6.0,210.0
773,Hyattsville,1547, MD,6.02,195.0
774,Eden,1549, NC,6.02,238.0
775,St. Anne's,1551, JM,6.0,222.0
776,Oxford,1553, MI,6.03,206.0
777,White Rock,1555, BC,6.02,240.0
778,San Antonio,1557, TX,5.1,215.0
780,Edmonton,1561, AB,6.04,275.0
781,Tyler,1563, TX,6.01,225.0
782,Yosemite,1565, CA,5.1,215.0
783,Columbus,1567, OH,5.09,185.0
784,Greenfield Park,1569, QC,6.03,260.0
785,Sacramento,1571, CA,6.01,195.0
786,Clinton,1573, MD,6.07,340.0
787,Gardena,1575, CA,5.07,188.0
788,Memphis,1577, TN,5.1,194.0
789,Macon,1579, GA,5.1,190.0
790,Alvin,1581, SC,5.11,250.0
791,Silver Spring,1583, MD,6.0,185.0
792,Pasadena,1585, CA,6.0,199.0
793,Fairburn,1587, GA,5.09,188.0
794,Mariette,1589, GA,6.0,227.0
795,Miami,1591, FL,6.0,225.0
796,Fayetteville,1593, NC,5.11,185.0
797,Chattanooga,1595, TN,6.03,217.0
798,Palmetto,1597, FL,5.07,180.0
799,Emmetsburg,1599, IA,6.03,242.0
800,Surrey,1601, BC,6.03,230.0
801,Detroit,1603, MI,5.09,190.0
802,Dallas,1605, TX,6.04,222.0
803,Osaka,1607, JP,6.03,279.0
805,New Westminster,1611, BC,6.07,307.0
